Start time: 1538915040.3160827, End time: 1538915040.3164022, Difference: 0.00031948089599609375, Start angle is: 0, end angle is: 0;
Start time: 1538915047.5915678, End time: 1538915047.5918367, Difference: 0.0002689361572265625, Start angle is: 0, end angle is: 0;
Start time: 1538915048.7939186, End time: 1538915048.794272, Difference: 0.0003533363342285156, Start angle is: 0, end angle is: 0;
Start time: 1538915054.581509, End time: 1538915054.581802, Difference: 0.00029277801513671875, Start angle is: 0, end angle is: 0;
Start time: 1538915055.5076818, End time: 1538915055.5079298, Difference: 0.000247955322265625, Start angle is: 0, end angle is: 0;
Start time: 1538915058.588745, End time: 1538915058.5889945, Difference: 0.0002493858337402344, Start angle is: 0, end angle is: 0;
Start time: 1538915059.6112006, End time: 1538915059.6114535, Difference: 0.0002529621124267578, Start angle is: 0, end angle is: 0;
Start time: 1538915061.1445436, End time: 1538915061.1448612, Difference: 0.00031757354736328125, Start angle is: 0, end angle is: 0;
Start time: 1538915061.766337, End time: 1538915061.7665823, Difference: 0.0002453327178955078, Start angle is: 0, end angle is: 0;
Start time: 1538915065.760376, End time: 1538915065.7606742, Difference: 0.0002982616424560547, Start angle is: 0, end angle is: 0;
Start time: 1538915066.4421008, End time: 1538915066.442449, Difference: 0.0003483295440673828, Start angle is: 0, end angle is: 0;
Start time: 1538915076.9090796, End time: 1538915076.9091997, Difference: 0.0001201629638671875, Start angle is: 0, end angle is: 0;
Start time: 1538915077.2684298, End time: 1538915077.2688062, Difference: 0.0003764629364013672, Start angle is: 0, end angle is: 0;
Start time: 1538915078.0574055, End time: 1538915078.0578136, Difference: 0.000408172607421875, Start angle is: 0, end angle is: 0;
Start time: 1538915078.3143833, End time: 1538915078.3146565, Difference: 0.0002732276916503906, Start angle is: 0, end angle is: 0;
Start time: 1538915081.4516783, End time: 1538915081.4519296, Difference: 0.0002512931823730469, Start angle is: 0, end angle is: 0;
Start time: 1538915082.178086, End time: 1538915082.1783586, Difference: 0.00027251243591308594, Start angle is: 0, end angle is: 0;
Start time: 1538915091.7435718, End time: 1538915091.7439227, Difference: 0.0003509521484375, Start angle is: 0, end angle is: 0;
Start time: 1538915092.3678222, End time: 1538915092.3681107, Difference: 0.0002884864807128906, Start angle is: 0, end angle is: 0;
Start time: 1538915100.1369548, End time: 1538915100.1372743, Difference: 0.00031948089599609375, Start angle is: 0, end angle is: 0;
Start time: 1538915100.9319777, End time: 1538915100.932276, Difference: 0.0002982616424560547, Start angle is: 0, end angle is: 0;
Start time: 1538915118.337606, End time: 1538915118.3378298, Difference: 0.0002238750457763672, Start angle is: 0, end angle is: 0;
Start time: 1538915118.9301212, End time: 1538915118.930329, Difference: 0.0002079010009765625, Start angle is: 0, end angle is: 0;
Start time: 1538915126.2344282, End time: 1538915126.234653, Difference: 0.00022482872009277344, Start angle is: 0, end angle is: 0;
Start time: 1538915127.698613, End time: 1538915127.6989121, Difference: 0.00029921531677246094, Start angle is: 0, end angle is: 0;
Start time: 1538915134.2459934, End time: 1538915134.2463925, Difference: 0.0003991127014160156, Start angle is: 0, end angle is: 0;
Start time: 1538915134.9327974, End time: 1538915134.9331434, Difference: 0.0003459453582763672, Start angle is: 0, end angle is: 0;
Start time: 1538915146.7973773, End time: 1538915146.7976499, Difference: 0.00027251243591308594, Start angle is: 0, end angle is: 0;
Start time: 1538915147.5219748, End time: 1538915147.5222392, Difference: 0.0002644062042236328, Start angle is: 0, end angle is: 0;
Start time: 1538915149.6559153, End time: 1538915149.656159, Difference: 0.00024366378784179688, Start angle is: 0, end angle is: 0;
Start time: 1538915193.308009, End time: 1538915193.3083663, Difference: 0.0003573894500732422, Start angle is: 0, end angle is: 0;
Start time: 1538915195.5367482, End time: 1538915195.5369852, Difference: 0.00023698806762695312, Start angle is: 0, end angle is: 0;
Start time: 1538915197.7093294, End time: 1538915197.7096376, Difference: 0.0003082752227783203, Start angle is: 0, end angle is: 0;
Start time: 1538915198.5041597, End time: 1538915198.5044358, Difference: 0.0002760887145996094, Start angle is: 0, end angle is: 0;
Start time: 1538915199.21649, End time: 1538915199.2167325, Difference: 0.00024247169494628906, Start angle is: 0, end angle is: 0;
Start time: 1538915199.6174974, End time: 1538915199.6177635, Difference: 0.00026607513427734375, Start angle is: 0, end angle is: 0;
Start time: 1538915200.2253053, End time: 1538915200.2255187, Difference: 0.00021338462829589844, Start angle is: 0, end angle is: 0;
Start time: 1538915201.2223353, End time: 1538915201.2226174, Difference: 0.00028204917907714844, Start angle is: 0, end angle is: 0;
Start time: 1538915205.0053775, End time: 1538915205.0055442, Difference: 0.0001666545867919922, Start angle is: 0, end angle is: 0;
Start time: 1538915205.3603976, End time: 1538915205.3606894, Difference: 0.0002918243408203125, Start angle is: 0, end angle is: 0;
Start time: 1538915207.9304395, End time: 1538915207.9306927, Difference: 0.0002532005310058594, Start angle is: 0, end angle is: 0;
Start time: 1538915212.980387, End time: 1538915212.9806607, Difference: 0.00027370452880859375, Start angle is: 0, end angle is: 0;
Start time: 1538915271.6997688, End time: 1538915271.6999938, Difference: 0.000225067138671875, Start angle is: 0, end angle is: 0;
Start time: 1538915278.6642034, End time: 1538915278.6645732, Difference: 0.00036978721618652344, Start angle is: 0, end angle is: 0;
Start time: 1538915278.7981029, End time: 1538915278.7983265, Difference: 0.00022363662719726562, Start angle is: 0, end angle is: 0;
Start time: 1538915278.9902446, End time: 1538915278.9905367, Difference: 0.00029206275939941406, Start angle is: 0, end angle is: 0;
Start time: 1538915279.8409853, End time: 1538915279.8412697, Difference: 0.00028443336486816406, Start angle is: 0, end angle is: 0;
Start time: 1538915280.3800077, End time: 1538915280.380149, Difference: 0.000141143798828125, Start angle is: 0, end angle is: 0;
Start time: 1538915280.642538, End time: 1538915280.642819, Difference: 0.0002808570861816406, Start angle is: 0, end angle is: 0;
Start time: 1538915283.3751614, End time: 1538915283.3754466, Difference: 0.00028514862060546875, Start angle is: 0, end angle is: 0;
Start time: 1538915284.1980321, End time: 1538915284.198311, Difference: 0.0002789497375488281, Start angle is: 0, end angle is: 0;
Start time: 1538915287.0894065, End time: 1538915287.0897295, Difference: 0.0003230571746826172, Start angle is: 0, end angle is: 0;
Start time: 1538915288.9421923, End time: 1538915288.9424238, Difference: 0.0002315044403076172, Start angle is: 0, end angle is: 0;
Start time: 1538915290.406187, End time: 1538915290.4064503, Difference: 0.000263214111328125, Start angle is: 0, end angle is: 0;
Start time: 1538915291.5863106, End time: 1538915291.586558, Difference: 0.0002474784851074219, Start angle is: 0, end angle is: 0;
Start time: 1538915292.972871, End time: 1538915292.9731812, Difference: 0.0003101825714111328, Start angle is: 0, end angle is: 0;
Start time: 1538915296.511313, End time: 1538915296.5114837, Difference: 0.00017070770263671875, Start angle is: 0, end angle is: 0;
Start time: 1538915296.538009, End time: 1538915296.538324, Difference: 0.0003151893615722656, Start angle is: 0, end angle is: 0;
Start time: 1538915298.511482, End time: 1538915298.511803, Difference: 0.0003209114074707031, Start angle is: 0, end angle is: 0;
Start time: 1538915299.1590044, End time: 1538915299.1592588, Difference: 0.0002543926239013672, Start angle is: 0, end angle is: 0;
Start time: 1538915302.5733936, End time: 1538915302.573642, Difference: 0.0002484321594238281, Start angle is: 0, end angle is: 0;
Start time: 1538915302.9354115, End time: 1538915302.9358058, Difference: 0.0003943443298339844, Start angle is: 0, end angle is: 0;
Start time: 1538915304.831785, End time: 1538915304.8320932, Difference: 0.0003082752227783203, Start angle is: 0, end angle is: 0;
Start time: 1538915305.6859102, End time: 1538915305.6861663, Difference: 0.0002560615539550781, Start angle is: 0, end angle is: 0;
Start time: 1538915309.2904456, End time: 1538915309.290801, Difference: 0.0003554821014404297, Start angle is: 0, end angle is: 0;
Start time: 1538915309.6260457, End time: 1538915309.6262813, Difference: 0.00023555755615234375, Start angle is: 0, end angle is: 0;
Start time: 1538915311.321739, End time: 1538915311.321956, Difference: 0.00021696090698242188, Start angle is: 0, end angle is: 0;
Start time: 1538915312.3725924, End time: 1538915312.3728771, Difference: 0.0002846717834472656, Start angle is: 0, end angle is: 0;
Start time: 1538915318.725983, End time: 1538915318.7262816, Difference: 0.0002987384796142578, Start angle is: 0, end angle is: 0;
Start time: 1538915322.0700724, End time: 1538915322.070425, Difference: 0.00035262107849121094, Start angle is: 0, end angle is: 0;
Start time: 1538915322.7589035, End time: 1538915322.75915, Difference: 0.0002465248107910156, Start angle is: 0, end angle is: 0;
Start time: 1538915330.5975053, End time: 1538915330.5977957, Difference: 0.0002903938293457031, Start angle is: 0, end angle is: 0;
Start time: 1538915331.3966105, End time: 1538915331.3968468, Difference: 0.00023627281188964844, Start angle is: 0, end angle is: 0;
Start time: 1538915334.16309, End time: 1538915334.163386, Difference: 0.0002961158752441406, Start angle is: 0, end angle is: 0;
Start time: 1538915336.404192, End time: 1538915336.4045286, Difference: 0.00033664703369140625, Start angle is: 0, end angle is: 0;
Start time: 1538915338.1546535, End time: 1538915338.1548986, Difference: 0.00024509429931640625, Start angle is: 0, end angle is: 0;
Start time: 1538915340.5194256, End time: 1538915340.5197468, Difference: 0.0003211498260498047, Start angle is: 0, end angle is: 0;
Start time: 1538915341.776673, End time: 1538915341.7769718, Difference: 0.0002987384796142578, Start angle is: 0, end angle is: 0;
Start time: 1538915344.600018, End time: 1538915344.6004596, Difference: 0.00044155120849609375, Start angle is: 0, end angle is: 0;
Start time: 1538915344.6002254, End time: 1538915344.600596, Difference: 0.0003705024719238281, Start angle is: 0, end angle is: 0;
Start time: 1538915346.8329191, End time: 1538915346.8331497, Difference: 0.00023055076599121094, Start angle is: 0, end angle is: 0;
Start time: 1538915347.9219644, End time: 1538915347.9222612, Difference: 0.0002968311309814453, Start angle is: 0, end angle is: 0;
Start time: 1538915349.986559, End time: 1538915349.9869068, Difference: 0.0003478527069091797, Start angle is: 0, end angle is: 0;
Start time: 1538915351.467169, End time: 1538915351.467367, Difference: 0.00019788742065429688, Start angle is: 0, end angle is: 0;
Start time: 1538915353.6150665, End time: 1538915353.6153386, Difference: 0.0002720355987548828, Start angle is: 0, end angle is: 0;
Start time: 1538915354.7974544, End time: 1538915354.797735, Difference: 0.00028061866760253906, Start angle is: 0, end angle is: 0;
Start time: 1538915355.617234, End time: 1538915355.61743, Difference: 0.00019598007202148438, Start angle is: 0, end angle is: 0;
Start time: 1538915357.1978948, End time: 1538915357.1981547, Difference: 0.0002598762512207031, Start angle is: 0, end angle is: 0;
Start time: 1538915359.0320265, End time: 1538915359.0324137, Difference: 0.0003871917724609375, Start angle is: 0, end angle is: 0;
Start time: 1538915359.2468739, End time: 1538915359.2471392, Difference: 0.00026535987854003906, Start angle is: 0, end angle is: 0;
Start time: 1538915360.4431784, End time: 1538915360.4449785, Difference: 0.0018000602722167969, Start angle is: 0, end angle is: 0;
Start time: 1538915360.444841, End time: 1538915360.4472322, Difference: 0.002391338348388672, Start angle is: 0, end angle is: 0;
Start time: 1538915361.2873497, End time: 1538915361.287578, Difference: 0.00022840499877929688, Start angle is: 0, end angle is: 0;
Start time: 1538915363.4470205, End time: 1538915363.4471972, Difference: 0.0001766681671142578, Start angle is: 0, end angle is: 0;
Start time: 1538915373.6855764, End time: 1538915373.685848, Difference: 0.0002715587615966797, Start angle is: 0, end angle is: 0;
Start time: 1538915374.9820435, End time: 1538915374.9821792, Difference: 0.00013566017150878906, Start angle is: 0, end angle is: 0;
Start time: 1538915375.446021, End time: 1538915375.4462678, Difference: 0.0002467632293701172, Start angle is: 0, end angle is: 0;
Start time: 1538915379.6141021, End time: 1538915379.6143844, Difference: 0.00028228759765625, Start angle is: 0, end angle is: 0;
Start time: 1538915380.1225162, End time: 1538915380.1227636, Difference: 0.0002474784851074219, Start angle is: 0, end angle is: 0;
Start time: 1538915388.0900047, End time: 1538915388.09023, Difference: 0.00022530555725097656, Start angle is: 0, end angle is: 0;
